OrderDate,Region,Country,City,Salesperson,Channel,Category,Product,Quantity,UnitPrice,UnitCost
2024-01-20,Europe,UK,London,Diana,Online,Electronics,Smartphone,4,167.11,106.54
2024-01-06,Europe,Germany,Berlin,Bob,Store,Electronics,Headphones,6,174.94,79.38
2024-06-05,APAC,India,Mumbai,Grace,Distributor,Electronics,Headphones,7,278.97,134.1
2024-08-21,North America,USA,Los Angeles,Carlos,Online,Office Supplies,Notebook,8,406.84,204.18
2024-03-24,Europe,France,Paris,Carlos,Store,Electronics,Tablet,5,11.33,5.06
2024-01-06,LATAM,Chile,Santiago,Bob,Store,Furniture,Office Chair,8,306.99,220.33
2024-05-30,North America,USA,New York,Ivan,Online,Appliances,Microwave,1,426.86,298.11
2024-01-21,APAC,Australia,Sydney,Grace,Store,Furniture,Office Chair,2,70.91,49.09
2024-03-05,Europe,UK,London,Frank,Store,Appliances,Coffee Maker,9,110.45,60.93
2024-06-25,APAC,China,Beijing,Julia,Store,Appliances,Microwave,1,373.15,235.01
2024-03-16,LATAM,Brazil,São Paulo,Hiro,Distributor,Appliances,Microwave,8,415.69,291.07
2024-10-03,LATAM,Chile,Santiago,Julia,Distributor,Appliances,Coffee Maker,3,90.49,65.68
2024-12-14,LATAM,Argentina,Buenos Aires,Alice,Store,Appliances,Blender,4,164.94,104.79
2024-09-20,Europe,UK,London,Grace,Online,Furniture,Office Chair,2,410.13,236.09
2024-04-25,Europe,UK,London,Diana,Distributor,Furniture,Lamp,3,315.81,194.51
2024-07-10,North America,Canada,Vancouver,Ivan,Distributor,Electronics,Monitor,1,123.78,94.05
2024-02-05,North America,USA,Los Angeles,Elena,Distributor,Electronics,Monitor,7,270.61,115.46
2024-08-26,Europe,France,Paris,Diana,Store,Furniture,Bookshelf,8,315.88,141.12
2024-06-01,Europe,Germany,Berlin,Diana,Online,Electronics,Laptop,6,173.08,119.81
2024-06-10,APAC,Japan,Tokyo,Elena,Distributor,Furniture,Lamp,4,399.07,258.61
2024-05-01,APAC,Japan,Tokyo,Hiro,Store,Office Supplies,Sticky Notes,4,373.32,234.92
2024-08-14,APAC,India,Mumbai,Alice,Online,Electronics,Headphones,6,378.68,258.56
