Fecha,Region,Producto,Ventas,Costos
2023-01-01,Norte,A,214,38
2023-01-01,Norte,B,92,127
2023-01-01,Norte,C,321,110
2023-01-01,Norte,D,340,146
2023-01-01,Sur,A,358,124
2023-01-01,Sur,B,463,43
2023-01-01,Sur,C,453,148
2023-01-01,Sur,D,275,275
2023-01-01,Este,A,458,225
2023-01-01,Este,B,380,67
2023-01-01,Este,C,493,101
2023-01-01,Este,D,244,64
2023-01-01,Oeste,A,177,159
2023-01-01,Oeste,B,471,34
2023-01-01,Oeste,C,243,269
2023-01-01,Oeste,D,107,122
2023-01-02,Norte,A,480,68
2023-01-02,Norte,B,387,113
2023-01-02,Norte,C,314,194
2023-01-02,Norte,D,492,89
2023-01-02,Sur,A,258,33
2023-01-02,Sur,B,427,120
2023-01-02,Sur,C,290,84
2023-01-02,Sur,D,162,45
2023-01-02,Este,A,474,20
2023-01-02,Este,B,477,21
2023-01-02,Este,C,70,198
2023-01-02,Este,D,385,255
2023-01-02,Oeste,A,85,294
2023-01-02,Oeste,B,483,289
2023-01-02,Oeste,C,310,73
2023-01-02,Oeste,D,487,135
2023-01-03,Norte,A,329,280
2023-01-03,Norte,B,124,153
2023-01-03,Norte,C,305,129
2023-01-03,Norte,D,157,226
2023-01-03,Sur,A,131,32
2023-01-03,Sur,B,143,299
2023-01-03,Sur,C,314,56
2023-01-03,Sur,D,338,65
2023-01-03,Este,A,217,28
2023-01-03,Este,B,61,264
2023-01-03,Este,C,78,176
2023-01-03,Este,D,300,144
2023-01-03,Oeste,A,439,191
2023-01-03,Oeste,B,102,147
2023-01-03,Oeste,C,91,200
2023-01-03,Oeste,D,294,243
2023-01-04,Norte,A,165,105
2023-01-04,Norte,B,249,79
2023-01-04,Norte,C,395,200
2023-01-04,Norte,D,265,137
2023-01-04,Sur,A,314,254
2023-01-04,Sur,B,166,269
2023-01-04,Sur,C,474,294
2023-01-04,Sur,D,414,24
2023-01-04,Este,A,80,294
2023-01-04,Este,B,410,221
2023-01-04,Este,C,371,185
2023-01-04,Este,D,145,232
2023-01-04,Oeste,A,477,132
2023-01-04,Oeste,B,88,207
2023-01-04,Oeste,C,217,21
2023-01-04,Oeste,D,319,239
2023-01-05,Norte,A,140,87
2023-01-05,Norte,B,445,108
2023-01-05,Norte,C,411,194
2023-01-05,Norte,D,405,22
2023-01-05,Sur,A,260,219
2023-01-05,Sur,B,179,245
2023-01-05,Sur,C,289,271
2023-01-05,Sur,D,320,168
2023-01-05,Este,A,417,150
2023-01-05,Este,B,202,196
2023-01-05,Este,C,174,224
2023-01-05,Este,D,257,164
2023-01-05,Oeste,A,432,292
2023-01-05,Oeste,B,84,180
2023-01-05,Oeste,C,329,120
2023-01-05,Oeste,D,317,111
2023-01-06,Norte,A,376,90
2023-01-06,Norte,B,398,76
2023-01-06,Norte,C,225,136
2023-01-06,Norte,D,90,205
2023-01-06,Sur,A,232,164
2023-01-06,Sur,B,390,38
2023-01-06,Sur,C,478,99
2023-01-06,Sur,D,333,105
2023-01-06,Este,A,312,60
2023-01-06,Este,B,357,100
2023-01-06,Este,C,253,178
2023-01-06,Este,D,308,170
2023-01-06,Oeste,A,243,284
2023-01-06,Oeste,B,63,51
2023-01-06,Oeste,C,407,82
2023-01-06,Oeste,D,449,168
2023-01-07,Norte,A,108,55
2023-01-07,Norte,B,346,59
2023-01-07,Norte,C,212,50
2023-01-07,Norte,D,309,154
2023-01-07,Sur,A,422,144
2023-01-07,Sur,B,226,75
2023-01-07,Sur,C,50,295
2023-01-07,Sur,D,275,298
2023-01-07,Este,A,292,25
2023-01-07,Este,B,58,42
2023-01-07,Este,C,424,64
2023-01-07,Este,D,78,255
2023-01-07,Oeste,A,222,290
2023-01-07,Oeste,B,163,257
2023-01-07,Oeste,C,368,173
2023-01-07,Oeste,D,470,146
2023-01-08,Norte,A,100,296
2023-01-08,Norte,B,337,59
2023-01-08,Norte,C,421,201
2023-01-08,Norte,D,496,248
2023-01-08,Sur,A,196,104
2023-01-08,Sur,B,341,230
2023-01-08,Sur,C,323,31
2023-01-08,Sur,D,457,142
2023-01-08,Este,A,200,189
2023-01-08,Este,B,218,135
2023-01-08,Este,C,309,259
2023-01-08,Este,D,409,228
2023-01-08,Oeste,A,234,62
2023-01-08,Oeste,B,265,63
2023-01-08,Oeste,C,444,51
2023-01-08,Oeste,D,404,88
2023-01-09,Norte,A,399,234
2023-01-09,Norte,B,444,171
2023-01-09,Norte,C,158,156
2023-01-09,Norte,D,470,176
2023-01-09,Sur,A,425,229
2023-01-09,Sur,B,180,211
2023-01-09,Sur,C,426,234
2023-01-09,Sur,D,381,296
2023-01-09,Este,A,336,124
2023-01-09,Este,B,292,88
2023-01-09,Este,C,217,290
2023-01-09,Este,D,355,150
2023-01-09,Oeste,A,312,257
2023-01-09,Oeste,B,248,59
2023-01-09,Oeste,C,299,167
2023-01-09,Oeste,D,354,180
2023-01-10,Norte,A,419,224
2023-01-10,Norte,B,490,245
2023-01-10,Norte,C,456,122
2023-01-10,Norte,D,315,190
2023-01-10,Sur,A,250,74
2023-01-10,Sur,B,61,97
2023-01-10,Sur,C,63,162
2023-01-10,Sur,D,331,131
2023-01-10,Este,A,189,64
2023-01-10,Este,B,182,274
