date,product_id,quantity,price
2025-01-01,P001,2,15.50
2025-01-01,P002,1,25.00
2025-01-02,P003,5,9.99
2025-01-02,P004,2,45.00
2025-01-03,P005,1,120.00
2025-01-03,P002,3,25.00
2025-01-04,P001,4,15.50
2025-01-04,P006,2,250.00
2025-01-05,P003,6,9.99
2025-01-05,P007,1,499.00
2025-01-06,P008,2,75.00
2025-01-06,P004,3,45.00
2025-01-07,P009,2,32.00
2025-01-07,P010,1,65.00
2025-01-08,P005,2,120.00
2025-01-08,P001,5,15.50
2025-01-09,P011,3,20.00
2025-01-09,P012,2,150.00
2025-01-10,P002,4,25.00
2025-01-10,P006,1,250.00
2025-01-11,P013,2,89.00
2025-01-11,P004,5,45.00
2025-01-12,P009,3,32.00
2025-01-12,P007,1,499.00
2025-01-13,P014,4,12.00
2025-01-13,P015,2,199.00
2025-01-14,P008,3,75.00
2025-01-14,P010,1,65.00
2025-01-15,P016,6,39.99
2025-01-15,P005,2,120.00
2025-01-16,P017,1,59.00
2025-01-16,P012,2,150.00
2025-01-17,P018,5,27.00
2025-01-17,P003,2,9.99
2025-01-18,P019,3,15.00
2025-01-18,P011,4,20.00
2025-01-19,P020,2,75.00
2025-01-19,P007,1,499.00
2025-01-20,P001,6,15.50
2025-01-20,P004,3,45.00
2025-01-21,P006,2,250.00
2025-01-21,P015,1,199.00
2025-01-22,P008,4,75.00
2025-01-22,P002,3,25.00
2025-01-23,P016,5,39.99
2025-01-23,P010,2,65.00
2025-01-24,P018,3,27.00
2025-01-24,P014,2,12.00
2025-01-25,P019,1,15.00
2025-01-25,P013,4,89.00
